	host	virus	Infection
702	S. lentus	PG-2021_70	0
703	S. lentus	PG-2021_55	0
704	S. lentus	PG-2021_50	0
705	S. lentus	PG-2021_51	0
706	S. lentus	PG-2021_59	0
707	S. lentus	PG-2021_28	0
708	S. lentus	PG-2021_27	0
709	S. lentus	PG-2021_46	0
710	S. lentus	PG-2021_33	1
711	S. lentus	PG-2021_31	1
712	S. lentus	PG-2021_32	1
713	S. lentus	PG-2021_76	1
714	S. lentus	PG-2021_42	1
715	S. lentus	PG-2021_12	0
716	S. lentus	PG-2021_14	1
717	S. lentus	PG-2021_23	1
718	S. lentus	PG-2021_24	1
719	S. lentus	PG-2021_40	0
720	S. lentus	PG-2021_39	0
721	S. lentus	PG-2021_41	0
722	S. lentus	PG-2021_26	0
723	S. lentus	PG-2021_11	0
724	S. lentus	PG-2021_13	0
725	S. lentus	PG-2021_43	1
726	S. lentus	PG-2021_22	0
727	S. lentus	PG-2021_4	0
728	S. lentus	PG-2021_68	0
729	S. lentus	PG-2021_52	1
730	S. lentus	PG-2021_67	0
731	S. lentus	PG-2021_6	0
732	S. lentus	PG-2021_90	0
733	S. lentus	PG-2021_94	0
734	S. lentus	PG-2021_93	0
735	S. lentus	PG-2021_89	0
736	S. lugdunensis	PG-2021_9	1
737	S. lugdunensis	PG-2021_38	1
738	S. lugdunensis	PG-2021_16	1
739	S. lugdunensis	PG-2021_84	1
740	S. lugdunensis	PG-2021_15	1
741	S. lugdunensis	PG-2021_45	1
742	S. lugdunensis	PG-2021_17	1
