hostname,phagename,infection
Paenibacillus_amylolyticus,NC_028758,NoInf
Paenibacillus_apiarius,NC_028758,NoInf
Paenibacillus_castaneae,NC_028758,Inf
Paenibacillus_elgii,NC_028758,NoInf
Paenibacillus_fonticola,NC_028758,NoInf
Paenibacillus_lactis,NC_028758,Inf
Paenibacillus_lautus,NC_028758,NoInf
Paenibacillus_humicus,NC_028758,Inf
Paenibacillus_larvae,NC_028758,Inf
Paenibacillus_nanensis,NC_028758,NoInf
Paenibacillus_pabuli,NC_028758,NoInf
Paenibacillus_peoriae,NC_028758,NoInf
Paenibacillus_polymyxa,NC_028758,NoInf
Paenibacillus_popilliae,NC_028758,NoInf
Pedobacter_africanus,NC_028758,NoInf
Planomicrobium_okeanokoites,NC_028758,NoInf
Pseudomonas_fluorescens,NC_028758,NoInf
Ralstonia_pickettii,NC_028758,NoInf
Saccharibacter_floricola,NC_028758,NoInf
Salmonella_enterica,NC_028758,NoInf
Staphylococcus_pasteuri,NC_028758,NoInf
Streptococcus_salivarius,NC_028758,NoInf
Streptomyces_griseus,NC_028758,NoInf
Aeromonas_hydrophila,NC_028795,NoInf
Aeromonas_salmonicida,NC_028795,NoInf
Citrobacter_freundii,NC_028795,NoInf
Enterococcus_faecalis,NC_028795,NoInf
Enterococcus_faecium,NC_028795,NoInf
Escherichia_coli,NC_028795,Inf
Klebsiella_pneumoniae,NC_028795,NoInf
Listeria_innocua,NC_028795,NoInf
Listeria_monocytogenes,NC_028795,NoInf
Photobacterium_damselae,NC_028795,NoInf
Proteus_mirabilis,NC_028795,Inf
Proteus_vulgaris,NC_028795,NoInf
Pseudomonas_aeruginosa,NC_028795,NoInf
Pseudomonas_fluorescens,NC_028795,NoInf
Pseudomonas_gingeri,NC_028795,NoInf
Pseudomonas_putida,NC_028795,NoInf
Pseudomonas_segetis,NC_028795,NoInf
Salmonella_enterica,NC_028795,Inf
Shigella_flexneri,NC_028795,Inf
Staphylococcus_aureus,NC_028795,NoInf
Vibrio_anguillarum,NC_028795,NoInf
Vibrio_fischeri,NC_028795,NoInf
Vibrio_parahaemolyticus,NC_028795,NoInf
Pseudomonas_aeruginosa,NC_028836,Inf
Staphylococcus_aureus,NC_028862,Inf
Staphylococcus_xylosis,NC_028862,Inf
Citrobacter_freundii,NC_028880,Inf
Pseudomonas_aeruginosa,NC_028885,Inf
Achromobacter_xylosoxidans,NC_028908,Inf
Acinetobacter_baumannii,NC_028908,NoInf
Citrobacter_freundii,NC_028908,NoInf
Enterobacter_aerogenes,NC_028908,NoInf
Enterobacter_cloacae,NC_028908,NoInf
Enterobacter_sakazakii,NC_028908,NoInf
Escherichia_coli,NC_028908,NoInf
Klebsiella_pneumoniae,NC_028908,NoInf
Pseudomonas_aeruginosa,NC_028908,NoInf
Raoultella_ornithinolytica,NC_028908,NoInf
Serratia_marcescens,NC_028908,NoInf
Shigella_sonnei,NC_028908,NoInf
Vibrio_parahaemolyticus,NC_028908,NoInf
Pseudomonas_aeruginosa,NC_028919,Inf
Escherichia_coli,NC_028957,Inf
Brevibacillus_laterosporus,NC_028969,Inf
Pseudomonas_aeruginosa,NC_028971,Inf
Bacillus_anthracis,NC_028982,Inf
Bacillus_cereus,NC_028982,Inf
Bacillus_megaterium,NC_028982,NoInf
Bacillus_subtilis,NC_028982,NoInf
Bacillus_thuringiensis,NC_028982,Inf
Bacillus_anthracis,NC_028983,Inf
Bacillus_cereus,NC_028983,Inf
Bacillus_megaterium,NC_028983,NoInf
Bacillus_subtilis,NC_028983,NoInf
Bacillus_thuringiensis,NC_028983,Inf
Pseudomonas_aeruginosa,NC_028999,Inf
Anabaena_spirioides,NC_029002,NoInf
Microcystis_aeruginosa,NC_029002,Inf
Burkholderia_cepacia,NC_029009,NoInf
Enterococcus_faecalis,NC_029009,Inf
Fusobacterium_nucleatum,NC_029009,NoInf
Klebsiella_pneumoniae,NC_029009,NoInf
Porphyromonas_gingivalis,NC_029009,NoInf
Pseudomonas_aeruginosa,NC_029009,NoInf
Staphylococcus_aureus,NC_029009,NoInf
Streptococcus_mutans,NC_029009,NoInf
Streptococcus_sobrinus,NC_029009,NoInf
Bacillus_cereus,NC_029010,NoInf
Bacillus_subtilis,NC_029010,NoInf
Cronobacter_sakazakii,NC_029010,NoInf
Enterococcus_faecalis,NC_029010,NoInf
Escherichia_coli,NC_029010,NoInf
Listeria_monocytogenes,NC_029010,NoInf
Pseudomonas_aeruginosa,NC_029010,NoInf
Salmonella_enterica,NC_029010,NoInf
Staphylococcus_aureus,NC_029010,Inf
Staphylococcus_cohnii,NC_029010,NoInf
Staphylococcus_intermedius,NC_029010,NoInf
Staphylococcus_warneri,NC_029010,NoInf
